round,client_0,client_1,client_2
1,0.10292989128548653,0.4393026154544205,0.08383956892509013
2,0.04167591581330635,0.1090312310885638,0.018496440440940204
3,0.023337088223197498,0.06442716007586569,0.005847984568310495
4,0.013906925450486596,0.04312059018854052,0.00208084316559507
5,0.007235431894412614,0.031097257463494316,0.0009280409830225836
6,0.004296546059646062,0.023798132341820745,0.0005366611471154101
7,0.0026939401414601888,0.0192021727997344,0.0003604779874503947
8,0.0018134938500024872,0.016418069383129476,0.0002647304989518488
9,0.0012753245885205615,0.014739779450464993,0.00020576877178200446
10,0.0009838116307173549,0.013379781461437232,0.00016648150388948578
