round,client_0,client_1,client_2
1,96.55625971541313,88.79360748392126,97.3159509202454
2,97.28566303957909,89.00799064509842,97.7760736196319
3,97.96723663757025,89.35879945429741,98.21428571428571
4,98.36183187851249,89.59267199376339,98.5977212971078
5,98.82817170871697,89.70960826349639,98.99211218229624
6,99.151022360397,90.45020463847203,99.35363716038562
7,99.29451153892144,98.51880725004872,99.5617879053462
8,99.4380007174459,98.77216916780355,99.68229623137599
9,99.50974530670813,98.8696160592477,99.7370727432077
10,99.59344732751406,98.9280841941142,99.81375985977213
11,99.66519191677628,99.0450204638472,99.8794916739702
12,99.7369365060385,99.12297797700253,99.93426818580193
13,99.79672366375702,99.23991424673552,99.96713409290096
14,99.85651082147555,99.29838238160202,99.98904469763366
15,99.90434054765036,99.39582927304619,99.98904469763366
16,99.91629797919407,99.45429740791269,99.98904469763366
17,99.9641277053689,99.47378678620153,99.98904469763366
18,99.9641277053689,99.51276554277918,100.0
19,99.9641277053689,99.59072305593452,100.0
20,99.9880425684563,99.62970181251218,100.0
21,100.0,99.62970181251218,100.0
22,100.0,99.68816994737868,100.0
23,100.0,99.74663808224517,100.0
24,100.0,99.76612746053401,100.0
25,100.0,99.84408497368933,100.0
26,100.0,99.84408497368933,100.0
27,100.0,99.84408497368933,100.0
28,100.0,99.86357435197817,100.0
29,100.0,99.88306373026701,100.0
30,100.0,99.88306373026701,100.0
