round,client_0,client_1,client_2
1,96.05963791267305,79.91475759190197,96.74358020096763
2,97.33759318423854,80.26993429231042,97.8600669892073
3,97.74582889598864,80.83821701296395,98.02754000744325
4,97.90557330493432,94.24613745338306,98.1950130256792
5,98.31380901668442,95.6135677499556,98.49274283587644
6,98.42030528931487,96.6258213461197,98.67882396724971
7,98.75754348597799,97.33617474693659,98.90212132489765
8,98.97053603123891,97.74462795240633,99.08820245627093
9,99.23677671281506,98.01101047771266,99.16263490882025
10,99.36102236421725,98.277393003019,99.4045403796055
11,99.48526801561945,98.45498135322323,99.55340528470413
12,99.60951366702166,98.61481086840703,99.75809452921473
13,99.66276180333689,98.96998756881548,99.77670264235206
14,99.78700745473908,99.09429941395844,99.86974320803871
15,99.8757543485978,99.11205824897887,99.96278377372533
16,99.8757543485978,99.21861125910141,99.96278377372533
17,99.89350372736953,99.36068193926478,99.96278377372533
18,99.92900248491303,99.39619960930563,100.0
19,99.96450124245652,99.48499378440773,100.0
20,99.94675186368477,99.46723494938732,100.0
21,99.94675186368477,99.57378795950986,100.0
22,100.0,99.6803409696324,100.0
23,100.0,99.6803409696324,100.0
24,100.0,99.6803409696324,100.0
25,100.0,99.71585863967324,100.0
26,100.0,99.71585863967324,100.0
27,100.0,99.73361747469366,100.0
28,100.0,99.71585863967324,100.0
29,100.0,99.71585863967324,100.0
30,100.0,99.7691351447345,100.0
