round,client_0,client_1,client_2
1,0.10292989128548653,0.28429104962199925,0.08012153954105453
2,0.04151941874343902,0.06326084468327463,0.01315768506459426
3,0.023789304512320086,0.03488403743086383,0.004035228844222729
4,0.014661062613944523,0.0211447437631432,0.0014393309073011552
5,0.009591115890420042,0.013756787473801524,0.0007118877536152013
6,0.006851824471377768,0.010061480350675993,0.0004394445326606729
7,0.005275023145222804,0.007973079633666202,0.00030646881800657866
8,0.004337872328149387,0.0066783064786577594,0.00023016990906256753
9,0.003740602789941477,0.005810516518424265,0.00018174027388403148
10,0.0033296766211569776,0.005223036830429919,0.00014865831742520184
