round,client_0,client_1,client_2
1,96.56821714695684,82.4790489183395,97.17353198948291
2,97.5367691019969,88.87156499707659,97.71034180543383
3,98.25421499461916,89.16390567140908,98.06091148115688
4,98.79229941408585,94.58195283570454,98.26906222611744
5,99.16297979194069,98.0315727928279,98.61963190184049
6,99.31842640200885,98.34340284544923,98.89351446099911
7,99.48583044362071,98.53829662833755,99.2988606485539
8,99.52170273825183,98.69421165464821,99.4960560911481
9,99.61736219060145,98.81114792438122,99.55083260297984
10,99.68910677986369,98.90859481582538,99.6603856266433
11,99.76085136912592,99.0450204638472,99.7370727432077
12,99.77280880066962,99.06450984213603,99.76993865030674
13,99.83259595838814,99.1619567335802,99.82471516213847
14,99.89238311610666,99.23991424673552,99.8794916739702
15,99.89238311610666,99.35685051646853,99.91235758106923
16,99.92825541073778,99.43480802962385,99.93426818580193
17,99.92825541073778,99.49327616449035,99.94522348816828
18,99.95217027382517,99.49327616449035,99.94522348816828
19,99.95217027382517,99.51276554277918,99.95617879053462
20,99.9880425684563,99.55174429935684,99.95617879053462
21,100.0,99.61021243422334,99.95617879053462
22,100.0,99.62970181251218,99.95617879053462
23,100.0,99.649191190801,99.95617879053462
24,100.0,99.66868056908986,99.95617879053462
25,100.0,99.66868056908986,99.95617879053462
26,100.0,99.68816994737868,99.95617879053462
27,100.0,99.72714870395635,99.95617879053462
28,100.0,99.74663808224517,99.96713409290096
29,100.0,99.74663808224517,99.96713409290096
30,100.0,99.76612746053401,99.96713409290096
