round,client_0,client_1,client_2
1,0.4421125853061676,0.8893741947412491,0.42215219855308533
2,0.22053572613745928,0.7134458509087562,0.1710834800079465
3,0.12904206786304712,0.6974513645470143,0.11971951134502888
4,0.08819315104745329,0.5327346138656139,0.0974407490901649
5,0.07592607258819044,0.3539344157278538,0.08318672025576233
6,0.06636514849960803,0.2551120747625828,0.0734089045599103
7,0.05821609375998378,0.17157022658735513,0.06619752080179751
8,0.05128110208082944,0.13832350607961416,0.06054340476170182
9,0.04547528074355796,0.11911969417706132,0.05590924601070583
10,0.04075253721792251,0.10522931698709727,0.05191676264628768
