round,client_0,client_1,client_2
1,0.12051585168158636,0.29544909217581156,0.07156070646934677
2,0.03608740455919178,0.10740418171696364,0.023995316929882392
3,0.02096779870078899,0.07317046554479747,0.013078211633634054
4,0.013542894415077172,0.05409063709876501,0.008219863278540287
5,0.009263097414204821,0.04114421964623034,0.005690727954082831
6,0.006829387399775441,0.031769966491148806,0.004080092482796317
7,0.005346697584209323,0.025102663928060792,0.003145687332520538
8,0.004317505331528082,0.020611237342702225,0.0025436140077094932
9,0.0035832533571647216,0.017413609373092186,0.002105698991423196
10,0.003011930738157389,0.014873854322882834,0.0017708519274672197
