round,client_0,client_1,client_2
1,0.5441666216684395,0.7902286647762363,0.4821971876292796
2,0.31277084585537984,0.5562053414705923,0.22169957410614863
3,0.14067431425347565,0.49362782442159736,0.12219916672372239
4,0.12331743715299,0.4638456837633311,0.10249153150767994
5,0.11064721589396444,0.4444798293082941,0.09581379997528393
6,0.10162705703494239,0.4203979657981773,0.09045521939105637
7,0.09108104204635355,0.33805666222461817,0.0903371477354262
8,0.08483187632385958,0.26597538515806324,0.09035918030172915
9,0.08075144259542766,0.22905992273432474,0.08961171959939872
10,0.07540929991793345,0.20607280202299483,0.08627980802013625
11,0.07425095294225874,0.18662014632415075,0.08413145135551592
12,0.06746276839696988,0.17220125757415813,0.08509409213673165
13,0.06507211514405792,0.1618996283050146,0.08039474017426396
14,0.061191862796959706,0.15488817002598912,0.07942468849481106
15,0.05949626782213216,0.14558133391283803,0.0761789052563837
16,0.05718954731882722,0.1388358620140905,0.0754066027512349
17,0.05341873678391214,0.13300676537159528,0.07453857304318313
18,0.05068828874365608,0.12689531038599122,0.07292590932540467
19,0.04947115176514588,0.12190059463431835,0.0708252685508477
20,0.04792731321403461,0.1214844674444912,0.07153088311439353
21,0.04435458896552068,0.11695656403506663,0.06622596863727019
22,0.04254441784718815,0.11124795327645695,0.06442080751859089
23,0.04034312581304589,0.10496236170096118,0.06340300378982001
24,0.03993290780787028,0.10346689301245288,0.060316843288697485
25,0.03701324174211484,0.09979142427121612,0.05915890086068825
26,0.03555536921552206,0.09695821954568658,0.05565324645489916
27,0.03453877695650215,0.09259866379439136,0.05503379210419357
28,0.03315438096998465,0.09023094620651126,0.05265563461481748
29,0.03198161522569996,0.08607898948252472,0.05366328851635374
30,0.03074643399490703,0.08540548942961099,0.051156510606351735
