round,client_0,client_1,client_2
1,0.12051585168158636,0.39701709692552684,0.0854905275175115
2,0.03525001698394772,0.08977255166135728,0.02294107522824197
3,0.021951803033589384,0.044879712478723376,0.012419458975826273
4,0.014199250063786167,0.029302147024543958,0.007884277363235015
5,0.009582109753842815,0.02074391223723069,0.005365722123391607
6,0.006826451966560854,0.015468538528424688,0.0037990962008025236
7,0.004664944021653355,0.011677285702666268,0.002888947897232356
8,0.0034555305999074333,0.009405601298902184,0.0023361354047638084
9,0.002663149542712745,0.007866978597128763,0.0019737076858000364
10,0.002106966084479154,0.0066081616914598264,0.0017037199050855636
