round,client_0,client_1,client_2
1,0.30197908643797133,0.7011624226427596,0.6185242516592839
2,0.11105205613604319,0.24460765603335868,0.1870384314180916
3,0.09664842462366295,0.1506006588511493,0.05822899956990527
4,0.08299383050147092,0.11055998197770205,0.05074598081076124
5,0.07273536523124613,0.08751461663674832,0.04644282415549281
6,0.06427174654303107,0.07179933779643498,0.04250061186531218
7,0.05687109066712313,0.060332286498927766,0.03887844519142235
8,0.050395437672956844,0.05153455455328567,0.03553987484622253
9,0.044923313703013106,0.04458835409225329,0.03255112625585074
10,0.04044147505814432,0.039361871016360274,0.029779511780935377
11,0.03663186110269114,0.035285496453255204,0.02712871673380068
12,0.0335138541988226,0.03202760030272538,0.02500469849017652
13,0.030828032780983398,0.029259752536165543,0.023218291390630478
14,0.028551386340532992,0.02696506644639632,0.021665137251138045
15,0.026582727622776733,0.024947945354168933,0.020167598560515882
16,0.024840936845032288,0.02327535855178924,0.018792824068617434
17,0.023163541134830518,0.02191375025828113,0.017584397777369226
18,0.02171626219448323,0.020552388794780913,0.016509483795359357
19,0.020212280122144443,0.01951270307198275,0.015503166049825675
20,0.018881995354833245,0.018450005257508947,0.014545982901556051
21,0.01764486023479686,0.017508731344276093,0.013734421690702305
22,0.01655631073777646,0.016662622897706897,0.012966307681880049
23,0.015163546295195186,0.015794374796129978,0.012148271663628493
24,0.014071865938969965,0.01499441714933736,0.01152702444118254
25,0.012856427144842024,0.014318117000874592,0.010663001339629753
26,0.012204152358580182,0.013647506697241728,0.010006317568297821
27,0.01112169366818267,0.012934073872452575,0.009255547844116346
28,0.010127660233667268,0.012142955323013113,0.008609004081710907
29,0.00920961716689342,0.011564039650113336,0.008095994849318361
30,0.008642872610131613,0.010810016355801212,0.007517708646338834
